step, x1, x2, y, phi1, phi2, Ax, Bx, Ay, By, C, taken_time
0, -0.167225, 0.167225, 0.207521, 2.032683, 2.032683, -0.353000, 0.353000, 0.299689, 0.299689, 1.178097, 1.233612
1, -0.167747, 0.167747, 0.207102, 2.034275, 2.034275, -0.353000, 0.353000, 0.299069, 0.299069, 1.178097, 0.958654
2, -0.168787, 0.168787, 0.206268, 2.037456, 2.037456, -0.353000, 0.353000, 0.298144, 0.298144, 1.178097, 0.970252
3, -0.170334, 0.170334, 0.205029, 2.042216, 2.042216, -0.353000, 0.353000, 0.296920, 0.296920, 1.178097, 1.050653
4, -0.172373, 0.172373, 0.203401, 2.048543, 2.048543, -0.353000, 0.353000, 0.295406, 0.295406, 1.178097, 1.084072
5, -0.174885, 0.174885, 0.201400, 2.056421, 2.056421, -0.353000, 0.353000, 0.293611, 0.293611, 1.178097, 1.029788
6, -0.177844, 0.177844, 0.199051, 2.065826, 2.065826, -0.353000, 0.353000, 0.291548, 0.291548, 1.178097, 1.053920
7, -0.181224, 0.181224, 0.196378, 2.076731, 2.076731, -0.353000, 0.353000, 0.289230, 0.289230, 1.178097, 1.045377
8, -0.184992, 0.184992, 0.193411, 2.089106, 2.089106, -0.353000, 0.353000, 0.286672, 0.286672, 1.178097, 1.027888
9, -0.189114, 0.189114, 0.190182, 2.102911, 2.102911, -0.353000, 0.353000, 0.283890, 0.283890, 1.178097, 1.032045
10, -0.193553, 0.193553, 0.186722, 2.118103, 2.118103, -0.353000, 0.353000, 0.280902, 0.280902, 1.178097, 1.041989
11, -0.198271, 0.198271, 0.183066, 2.134631, 2.134631, -0.353000, 0.353000, 0.277727, 0.277727, 1.178097, 1.033643
12, -0.203227, 0.203227, 0.179249, 2.152439, 2.152439, -0.353000, 0.353000, 0.274386, 0.274386, 1.178097, 1.041510
13, -0.208381, 0.208381, 0.175305, 2.171464, 2.171464, -0.353000, 0.353000, 0.270897, 0.270897, 1.178097, 1.013135
14, -0.213692, 0.213692, 0.171268, 2.191632, 2.191632, -0.353000, 0.353000, 0.267284, 0.267284, 1.178097, 1.000294
15, -0.219119, 0.219119, 0.167172, 2.212866, 2.212866, -0.353000, 0.353000, 0.263567, 0.263567, 1.178097, 1.017165
16, -0.224622, 0.224622, 0.163049, 2.235079, 2.235079, -0.353000, 0.353000, 0.259769, 0.259769, 1.178097, 0.992366
17, -0.230163, 0.230163, 0.158927, 2.258174, 2.258174, -0.353000, 0.353000, 0.255911, 0.255911, 1.178097, 1.012112
18, -0.235705, 0.235705, 0.154836, 2.282049, 2.282049, -0.353000, 0.353000, 0.252016, 0.252016, 1.178097, 1.003554
